id,unit_number,unit_size,unit_balcony_size,unit_current_price,unit_construction_year,unit_scan_date,unit_status_id,project_id,unit_category_id,unit_type_id,unit_url,unit_rooms,unit_floor,sqrm_price
121,Korter 15,53.3,4.8,141900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-15/,2,4,2662.29
122,Korter 16,53.5,4.8,0,2020,2021-03-05,2,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-16/,2,4,0
123,Korter 17,77.7,4.8,202900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-17/,4,4,2611.33
124,Korter 18,41.5,4.5,0,2020,2021-03-05,3,3,1,1,#,2,4,0
125,Korter 19,41,4.5,0,2020,2021-03-05,3,3,1,1,#,2,2,0
126,Korter 20,40.5,50.7,0,2020,2021-03-05,3,3,1,1,#,2,2,0
127,Korter 21,37.3,34.7,0,2020,2021-03-05,3,3,1,1,#,2,2,0
128,Korter 22,53.6,4.8,136900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-22/,2,2,2554.1
129,Korter 23,52.9,4.8,136900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-23/,2,2,2587.9
130,Korter 24,66.2,4.8,169900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-24/,3,2,2566.47
131,Korter 25,69.5,4.8,0,2020,2021-03-05,3,3,1,1,#,3,2,0
132,Korter 26,41,4.5,0,2020,2021-03-05,3,3,1,1,#,2,3,0
133,Korter 27,40.5,6,0,2020,2021-03-05,3,3,1,1,#,2,3,0
134,Korter 28,37.3,4.8,0,2020,2021-03-05,3,3,1,1,#,2,3,0
135,Korter 29,53.6,4.8,138900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-29/,2,3,2591.42
136,Korter 30,52.9,4.8,138900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-30/,2,3,2625.71
137,Korter 31,66.2,4.8,0,2020,2021-03-05,3,3,1,1,#,3,3,0
138,Korter 32,78.8,4.8,0,2020,2021-03-05,3,3,1,1,#,3,3,0
139,Korter 33,41,4.5,0,2020,2021-03-05,3,3,1,1,#,2,4,0
